Name.1,Rating.1,Directed By,Runtime.1,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
The Angry Birds Movie 2, PG ,Thurop Van Orman,100,Columbia Pictures,0.73,107,0.84,4023
Legend Of The Demon Cat, NR,Kaige Chen,129,Well Go USA,0.91,11,0.37,74
Dora and the Lost City of Gold, PG ,James Bobin,102,Paramount Pictures,0.84,148,0.88,6715
Luce, R ,Julius Onah,109,NEON,0.91,151,0.77,284
Good Boys, R ,Gene Stupnitsky,95,Universal Pictures,0.8,237,0.86,13007
Danger Close, R ,Kriv Stenders,118,Saban Films,0.67,30,0.67,90
Tel Aviv on Fire, NR,Sameh Zoabi,97,Cohen Media Group,0.9,58,0.86,28
Brian Banks, PG-13 ,Tom Shadyac,99,Bleecker Street,0.61,69,0.97,1831
The Farewell, PG ,Lulu Wang,98,A24,0.98,322,0.87,2490
Angel Has Fallen, R ,Ric Roman Waugh,114,Lionsgate,0.39,178,0.93,14666
Them That Follow, R ,"Britt Poulton,  Dan Madison Savage",98,1091,0.59,91,0.47,147
After the Wedding, PG-13 ,Bart Freundlich,110,Sony Pictures Classics,0.44,153,0.77,196
Official Secrets, R ,Gavin Hood,112,IFC Films,0.83,156,0.89,361
The Peanut Butter Falcon, PG-13 ,"Tyler Nilson,  Michael Schwartz",93,Roadside Attractions,0.96,200,0.96,4704
Paradise Hills, NR,Alice Waddington,94,Samuel Goldwyn Films,0.64,61,0.82,330
Adopt a Highway, NR,Logan Marshall-Green,81,RLJE Films,0.68,31,0.73,67
Cubby, NR,"Mark Blane,  Ben Mankoff",83,Breaking Glass Pictures,0.7,10,0.62,16
Drive, NR,Tarun Mansukhani,118,Netflix,0,7,0.13,15
The King, R ,David MichÃ´d,133,Netflix,0.71,136,0.83,1794
Klaus, PG ,Sergio Pablos,98,Netflix,0.94,63,0.97,1837
Earthquake Bird, R ,Wash Westmoreland,106,Netflix,0.5,40,0.55,173
American Son, NR,Kenny Leon,90,Netflix,0.5,24,0.47,282
Philophobia: Or the Fear of Falling in Love, NR,Aaron Burt,85,Gravitas Ventures,1,10,0.79,14
Radioflash, NR,Ben McPherson,103,IFC Midnight,0,11,0.5,30
Primal, R ,Nick Powell,97,Lionsgate,0.38,32,0.27,48
Cold Brook, NR,William Fichtner,102,Vertical Entertainment,0.8,10,0.83,6
Feast of the Seven Fishes, NR,Robert Tinnell,99,SHOUT! STUDIOS,0.88,16,0.93,59
Holiday in the Wild, NR,Ernie Barbarash,86,Netflix,0.43,7,0.48,178
Let It Snow, PG-13 ,Luke Snellin,92,Netflix,0.81,26,0.45,343
The Return of Martin Guerre, NR,Daniel Vigne,123,Cohen Media Group,1,16,0.8,2881
Gebo and The Shadow, NR,Manoel de Oliveira,95,The Cinema Guild,1,9,0.5,144
Scary Stories to Tell in the Dark, NR,AndrÃ© Ã˜vredal,120,CBS Films and Lionsgate,0.78,222,0.72,8238
The Lion King, PG ,Jeff Nathanson,110,Walt Disney Pictures,0.53,406,0.88,76333
47 Meters Down: Uncaged, PG-13 ,Johannes Roberts,89,Entertainment Studios Motion Pictures,0.42,85,0.68,2475
Girl on the Third Floor, NR,Travis Stevens,93,Queensbury Pictures,0.81,36,0.23,315
Sweetheart, NR ,J.D. Dillard,82,Blumhouse,0.94,33,0.46,192
Blinded by the Light, PG-13 ,Gurinder Chadha,114,New Line Cinema,0.89,244,0.91,2634
3 from Hell, R ,Rob Zombie,122,Lionsgate,0.53,32,0.61,640
Emanuel, NR,Brian Ivie,80,Arbella Studios,1,18,0.98,315
The Kill Team, R ,Dan Krauss,87,A24,0.7,47,0.43,63
Dolemite Is My Name, R ,Craig Brewer,118,Netflix,0.97,215,0.91,113
The Laundromat, R ,Steven Soderbergh,96,Netflix,0.42,159,0.41,798
Tell Me Who I Am, NR,Ed Perkins,85,Netflix,0.96,27,0.89,137
Miss Virginia, NR,R.J. Daniel Hanna,102,Vertical Entertainment,0.6,10,0.84,44
Lucky Day, NR ,Roger Avary,99,Lionsgate,0.11,9,0.47,36
Portals, NR,"Gregg Hale,  Liam O'Donnell,  Eduardo SÃ¡nchez,  Timo Tjahjanto",80,Screen Media Films,0,11,0.16,19
The Gallows Act II, R ,"Chris Lofing,  Travis Cluff",99,Lionsgate,0,13,0.44,48
Jenny Slate: Stage Fright, NR,Gillian Robespierre,66,Netflix,1,14,0.45,120
Trick, NR,Patrick Lussier,97,RLJE Films,0.32,25,0.45,51
Toy Story 4, G,Josh Cooley,90,Disney/Pixar,0.97,429,0.94,53144
Pretenders, NR,James Franco,95,Cleopatra Entertainment,0.2,10,0.5,25
Stuber, R ,Michael Dowse,105,20th Century Fox,0.41,215,0.79,5394
In the Shadow of the Moon, NR,Jim Mickle,115,Netflix,0.59,51,0.36,256
The Riot Act, PG-13 ,Devon Parks,101,Giant Pictures,0.61,18,0.83,53
Maiden, PG ,Alex Holmes,97,Sony Pictures Classics,0.98,116,0.97,214
In the Tall Grass, NR,Vincenzo Natali,90,Netflix,0.37,67,0.34,571
The Dead Center, NR,Billy Senese,93,Arrow Films,0.94,17,0.47,48
The Death of Dick Long, R ,Daniel Scheinert,100,A24,0.75,76,0.86,7
Sister Aimee, NR,"Samantha Buck,  Marie Schlingmann",87,1091,0.68,19,0.7,12
Memory: The Origins of Alien, NR,Alexandre O. Philippe,93,Screen Media,0.82,77,0.92,12
Marianne & Leonard: Words of Love, R ,Nick Broomfield,97,Roadside Attractions,0.79,110,0.85,48
Harpoon, NR,Rob Grant,83,Epic Pictures,0.96,56,0.6,81
The Art of Self-Defense, R ,Riley Stearns,104,Bleecker Street,0.84,158,0.63,631
Bliss, NR,Joe Begos,79,Dark Sky Films,0.9,39,0.63,73
"The Gangster, the Cop, the Devil", NR,Lee Won-Tae,110,Well Go USA Entertainment,0.97,29,0.94,18
Ready to Mingle, NR,Luis Javier M. Henaine,95,Netflix,0.44,9,0.5,20
The Influence, NR,Denis Rovira,99,Netflix,0,5,0.3,30
Cuck, NR,Rob Lambert,115,Gravitas Ventures,0.55,11,0.29,102
El Camino: A Breaking Bad Movie, NR,Vince Gilligan,122,Netflix,0.91,121,0.81,4465
Fractured, NR,Brad Anderson,100,Netflix,0.61,28,0.5,406
Quartet, R,James Ivory,100,Cohen Film Collection,0.47,15,0.32,112
The Grief of Others, NR,Patrick Wang,103,Vanishing Angle,0.92,12,0.64,51
Spider-Man: Far From Home, PG-13 ,Jon Watts,130,Sony Pictures,0.91,427,0.95,69223
Bodied, R ,Joseph Kahn,120,NEON,0.9,78,0.86,795
My Son, NR,Christian Carion,84,Cohen Media Group,0.57,21,0.15,14
Four Hands, NR,Oliver Kienle,94,ARRI Media,0.83,12,0.2,16
In the Aisles, NR,Thomas Stuber,125,Music Box Films,0.89,37,0.65,34
The Wedding Year, R ,Robert Luketic,90,Entertainment Studios Motion Pictures,0.44,9,0.56,43
Loro, NR,Paolo Sorrentino,158,Sundance Selects,0.78,72,0.59,116
Wild Rose, R ,Tom Harper,101,NEON,0.92,182,0.87,170
"A Bread Factory, Part One: For the Sake of Gold", NR,Patrick Wang,122,Vanishing Angle,1,29,0.67,51
"A Bread Factory, Part Two: Walk with Me a While", NR,Patrick Wang,120,Vanishing Angle,1,21,0.71,25
