Name,Rating,Directed By,Runtime,Studio,TOMATOMETER score,TOMATOMETER Count,AUDIENCE score,AUDIENCE count
The Angry Birds Movie 2, PG (for rude humor and action), Thurop Van Orman,   100 minutes    , Columbia Pictures  ,  73%    ,    107  ,  84%    ," 4,023"
Legend Of The Demon Cat (Kûkai), NR, Kaige Chen,   129 minutes    , Well Go USA  ,  91%    ,    11  ,  37%    , 74
Dora and the Lost City of Gold, PG (for action and some impolite humor), James Bobin,   102 minutes    , Paramount Pictures  ,  84%    ,    148  ,  88%    ," 6,715"
Luce," R (for language throughout, sexual content, nudity and some drug use)", Julius Onah,   109 minutes    , NEON  ,  91%    ,    151  ,  77%    , 284
Good Boys," R (for strong crude sexual content, drug and alcohol material, and language throughout - all involving tweens)", Gene Stupnitsky,   95 minutes    , Universal Pictures  ,  80%    ,    237  ,  86%    ," 13,007"
Danger Close," R (for sequences of war violence, and language throughout)", Kriv Stenders,   118 minutes    , Saban Films  ,  67%    ,    30  ,  67%    , 90
Tel Aviv on Fire, NR, Sameh Zoabi,   97 minutes    , Cohen Media Group  ,  90%    ,    58  ,  86%    , 28
Brian Banks," PG-13 (for thematic content and related images, and for language)", Tom Shadyac,   99 minutes    , Bleecker Street  ,  61%    ,    69  ,  97%    ," 1,831"
The Farewell," PG (for thematic material, brief language and some smoking)", Lulu Wang,   98 minutes    , A24  ,  98%    ,    322  ,  87%    ," 2,490"
Angel Has Fallen, R (for violence and language throughout), Ric Roman Waugh,   114 minutes    , Lionsgate  ,  39%    ,    178  ,  93%    ," 14,666"
Them That Follow, R (for some disturbing violence)," Britt Poulton,  Dan Madison Savage",   98 minutes    , 1091  ,  59%    ,    91  ,  47%    , 147
After the Wedding, PG-13 (for thematic material and some strong language), Bart Freundlich,   110 minutes    , Sony Pictures Classics  ,  44%    ,    153  ,  77%    , 196
Official Secrets, R (for language), Gavin Hood,   112 minutes    , IFC Films  ,  83%    ,    156  ,  89%    , 361
The Peanut Butter Falcon," PG-13 (for thematic content, language throughout, some violence and smoking)"," Tyler Nilson,  Michael Schwartz",   93 minutes    , Roadside Attractions  ,  96%    ,    200  ,  96%    ," 4,704"
Paradise Hills, NR, Alice Waddington,   94 minutes    , Samuel Goldwyn Films  ,  64%    ,    61  ,  82%    , 330
Adopt a Highway, NR, Logan Marshall-Green,   81 minutes    , RLJE Films  ,  68%    ,    31  ,  73%    , 67
Cubby, NR," Mark Blane,  Ben Mankoff",   83 minutes    , Breaking Glass Pictures  ,  70%    ,    10  ,  62%    , 16
Drive, NR, Tarun Mansukhani,   118 minutes    , Netflix  ,  0%    ,    7  ,  13%    , 15
The King," R (for some strong violence, and language)", David Michôd,   133 minutes    , Netflix  ,  71%    ,    136  ,  83%    ," 1,794"
Klaus, PG (for rude humor and mild action), Sergio Pablos,   98 minutes    , Netflix  ,  94%    ,    63  ,  97%    ," 1,837"
Earthquake Bird," R (for some sexuality, full nudity, violence and brief language)", Wash Westmoreland,   106 minutes    , Netflix  ,  50%    ,    40  ,  55%    , 173
American Son, NR, Kenny Leon,   90 minutes    , Netflix  ,  50%    ,    24  ,  47%    , 282
Philophobia: Or the Fear of Falling in Love, NR, Aaron Burt,   85 minutes    , Gravitas Ventures  ,  100%    ,    10  ,  79%    , 14
Radioflash, NR, Ben McPherson,   103 minutes    , IFC Midnight  ,  0%    ,    11  ,  50%    , 30
Primal, R (for violence and language), Nick Powell,   97 minutes    , Lionsgate  ,  38%    ,    32  ,  27%    , 48
Cold Brook, NR, William Fichtner,   102 minutes    , Vertical Entertainment  ,  80%    ,    10  ,  83%    , 6
Feast of the Seven Fishes, NR, Robert Tinnell,   99 minutes    , SHOUT! STUDIOS  ,  88%    ,    16  ,  93%    , 59
Holiday in the Wild, NR, Ernie Barbarash,   86 minutes    , Netflix  ,  43%    ,    7  ,  48%    , 178
Let It Snow," PG-13 (for crude sexual material, strong language, and teen partying)", Luke Snellin,   92 minutes    , Netflix  ,  81%    ,    26  ,  45%    , 343
The Return of Martin Guerre (Le Retour de Martin Guerre), NR, Daniel Vigne,   123 minutes    , Cohen Media Group  ,  100%    ,    16  ,  80%    ," 2,881"
Gebo and The Shadow (Gebo et l'ombre), NR, Manoel de Oliveira,   95 minutes    , The Cinema Guild  ,  100%    ,    9  ,  50%    , 144
Scary Stories to Tell in the Dark, NR, André Øvredal,   120 minutes    , CBS Films and Lionsgate  ,  78%    ,    222  ,  72%    ," 8,238"
The Lion King," PG (for sequences of violence and peril, and some thematic elements)", Jeff Nathanson,   110 minutes    , Walt Disney Pictures  ,  53%    ,    406  ,  88%    ," 76,333"
47 Meters Down: Uncaged," PG-13 (for creature related violence and terror, some bloody images and brief rude gestures)", Johannes Roberts,   89 minutes    , Entertainment Studios Motion Pictures  ,  42%    ,    85  ,  68%    ," 2,475"
Girl on the Third Floor, NR, Travis Stevens,   93 minutes    , Queensbury Pictures  ,  81%    ,    36  ,  23%    , 315
Sweetheart," NR (for creature violence, some bloody images and brief strong language)", J.D. Dillard,   82 minutes    , Blumhouse  ,  94%    ,    33  ,  46%    , 192
Blinded by the Light, PG-13 (for thematic material and language including some ethnic slurs), Gurinder Chadha,   114 minutes    , New Line Cinema  ,  89%    ,    244  ,  91%    ," 2,634"
3 from Hell," R (for strong sadistic violence, language throughout, sexual content, graphic nudity, and drug use)", Rob Zombie,   122 minutes    , Lionsgate  ,  53%    ,    32  ,  61%    , 640
Emanuel, NR, Brian Ivie,   80 minutes    , Arbella Studios  ,  100%    ,    18  ,  98%    , 315
The Kill Team," R (for language throughout, violent content and drug use)", Dan Krauss,   87 minutes    , A24  ,  70%    ,    47  ,  43%    , 63
Dolemite Is My Name," R (for some sexuality, full nudity and brief language)", Craig Brewer,   118 minutes    , Netflix  ,  97%    ,    215  ,  91%    , 113
The Laundromat," R (for language, some sexual content and disturbing images)", Steven Soderbergh,   96 minutes    , Netflix  ,  42%    ,    159  ,  41%    , 798
Tell Me Who I Am, NR, Ed Perkins,   85 minutes    , Netflix  ,  96%    ,    27  ,  89%    , 137
Miss Virginia, NR, R.J. Daniel Hanna,   102 minutes    , Vertical Entertainment  ,  60%    ,    10  ,  84%    , 44
Lucky Day," NR (for bloody violence, language throughout, and sexual content)", Roger Avary,   99 minutes    , Lionsgate  ,  11%    ,    9  ,  47%    , 36
Portals, NR," Gregg Hale,  Liam O'Donnell,  Eduardo Sánchez,  Timo Tjahjanto",   80 minutes    , Screen Media Films  ,  0%    ,    11  ,  16%    , 19
The Gallows Act II, R (for some disturbing violent content)," Chris Lofing,  Travis Cluff",   99 minutes    , Lionsgate  ,  0%    ,    13  ,  44%    , 48
Jenny Slate: Stage Fright, NR, Gillian Robespierre,   66 minutes    , Netflix  ,  100%    ,    14  ,  45%    , 120
Trick, NR, Patrick Lussier,   97 minutes    , RLJE Films  ,  32%    ,    25  ,  45%    , 51
Toy Story 4, G, Josh Cooley,   90 minutes    , Disney/Pixar  ,  97%    ,    429  ,  94%    ," 53,144"
Pretenders, NR, James Franco,   95 minutes    , Cleopatra Entertainment  ,  20%    ,    10  ,  50%    , 25
Stuber," R (for violence and language throughout, some sexual references and brief graphic nudity)", Michael Dowse,   105 minutes    , 20th Century Fox  ,  41%    ,    215  ,  79%    ," 5,394"
In the Shadow of the Moon, NR, Jim Mickle,   115 minutes    , Netflix  ,  59%    ,    51  ,  36%    , 256
The Riot Act, PG-13 (for violence and brief drug material), Devon Parks,   101 minutes    , Giant Pictures  ,  61%    ,    18  ,  83%    , 53
Maiden," PG (for language, thematic elements, some suggestive content and brief smoking images)", Alex Holmes,   97 minutes    , Sony Pictures Classics  ,  98%    ,    116  ,  97%    , 214
In the Tall Grass, NR, Vincenzo Natali,   90 minutes    , Netflix  ,  37%    ,    67  ,  34%    , 571
The Dead Center, NR, Billy Senese,   93 minutes    , Arrow Films  ,  94%    ,    17  ,  47%    , 48
The Death of Dick Long," R (for pervasive language, disturbing sexual material, and brief drug use)", Daniel Scheinert,   100 minutes    , A24  ,  75%    ,    76  ,  86%    , 7
Sister Aimee, NR," Samantha Buck,  Marie Schlingmann",   87 minutes    , 1091  ,  68%    ,    19  ,  70%    , 12
